,Unnamed: 0,Shoename,Category,Colour,Shoe_Price,CountOfSizes,Color1,Color2,Color3,Color4,Color5,Style_codeProduct_code,Reviews,Size,Comfort,Durability_quality_performance,Star_rating
109,109,Cali Wedge Women's SneakersPuma White-Puma White$90.00,Women,2,4567.2,3,Lime,,,,,220691-LIME,10,"1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5",Highly Comfortable,Rubber outsole,5
110,110,Suede Classic XXI SneakersHoney Mustard-Puma White$75.00,Men's SneakersPuma,2,6228,1,Rose,,,,,177102-ROS,42,"4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14",Stable Comfortable,Comfortable sockliner,3.7
111,111,Roma Classic Gum SneakersPuma White-Puma Team Gold$70.00,Puma Mens,1,6643.2,5,White/Multi,,,,,237205-WMLT,55,"6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11",Comfortable sockliner,PUMA Formstrip on medial and lateral sides,4.3
112,112,Suede Classic XXI Little Kids' ShoesHigh Risk Red-Puma White$55.00,Women,1,4567.2,2,Black/Red,,,,,220170-BKRD,10,"3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5",Highly Comfortable,Full suede upper with synthetic lining,5
113,113,Suede Classic XXI Sneakers Big KidsPink Lady-Puma White$60.00,Mayze Women's Sneaker,2,7473.6,5,Navy/Pink,,,,,128923-NVPK,104,"5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11",Comfortable sockliner,Comfortable sockliner,4.7
114,114,Suede Classic XXI Sneakers Big KidsPeacoat-Puma White$60.00,Women's SneakersPuma,1,7473.6,1,White,,,,,128923-WAQ,55,"4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14",Comfortable sockliner,Classic low-rise silhouette,4
115,115,Cali Wedge Women's SneakersPuma Black-Puma White$90.00,Men's Sneakers,1,6228,4,Wheat/Black,Oolive,,,,220551,42,"4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14",Comfortable sockliner,Rubber outsole,4
116,116,Basket Classic XXI Men's SneakersPuma White-Puma Black$75.00,Men's SneakersPuma,2,6228,1,Navy/Orange,,,,,232218-NVOR,42,"4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14",Comfortable sockliner,Comfortable sockliner,4
117,117,Suede Classic XXI Toddler ShoesHigh Risk Red-Puma White$45.00,Puma Mens,1,5812.8,1,Black/Blue,Charcoal/Red,,,,54430,36,"4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14",Comfortable sockliner,Full suede upper with synthetic lining,4
118,118,Suede Classic XXI Toddler ShoesPuma Black-Puma White$45.00,Puma Mens,2,5812.8,5,Navy/Orange,Black/Grey,White/Blue,,,232607,36,"4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14",Comfortable sockliner,Comfortable sockliner,4
119,119,Basket Classic XXI Men's SneakersPuma White-Puma White$75.00,Women's SneakersPuma,2,7473.6,2,Red,,,,,232529-RDBK,24,"5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11",Comfortable sockliner,Classic low-rise silhouette,4.7
